match_id,date,kickoff_time_utc,stage_id,venue_id,home_team_id,away_team_id,home_score,away_score,status,home_xg,away_xg,referee_id,player_of_the_match_id,Total_Goals,Goal_Difference,Match_Result,Match_Year,Match_Month,Home_Team,Away_Team,Goal_Category,Winning_Margin,High_Scoring_Match,Home_Attack_Rating,Away_Attack_Rating,Home_Defense_Rating,Away_Defense_Rating,Home_Goal_Efficiency,Away_Goal_Efficiency,Match_Intensity
27,18-06-2026,21:00,1,5,5,7,6.0,0.0,Completed,3.82,0.22,11,114.0,6,0,Home Win,2026,June,Canada,Qatar,High Scoring,6.0,Yes,Strong,Poor,Excellent,Weak,1.57,0.0,High
28,18-06-2026,23:59,1,1,8,6,4.0,1.0,Completed,2.45,0.88,12,191.0,5,0,Home Win,2026,June,Switzerland,Bosnia and Herzegovina,Medium Scoring,3.0,Yes,Strong,Poor,Good,Weak,1.63,1.14,Medium
29,19-06-2026,15:00,1,2,9,11,3.0,0.0,Completed,1.16,0.9,13,217.0,3,0,Home Win,2026,June,Brazil,Haiti,Medium Scoring,3.0,No,Average,Poor,Excellent,Weak,2.59,0.0,Medium
30,19-06-2026,18:00,1,4,12,10,0.0,1.0,Completed,0.97,0.54,14,245.0,1,0,Away Win,2026,June,Scotland,Morocco,Low Scoring,1.0,No,Poor,Poor,Good,Excellent,0.0,1.85,Low
31,19-06-2026,21:00,1,6,13,15,2.0,0.0,Completed,1.21,0.32,15,332.0,2,0,Home Win,2026,June,USA,Australia,Low Scoring,2.0,No,Average,Poor,Excellent,Good,1.65,0.0,Low
32,19-06-2026,23:59,1,8,16,14,0.0,1.0,Completed,0.4,0.3,16,361.0,1,0,Away Win,2026,June,TÃ¼rkiye,Paraguay,Low Scoring,1.0,No,Poor,Poor,Good,Excellent,0.0,3.33,Low
33,20-06-2026,15:00,1,10,17,19,2.0,1.0,Completed,1.85,0.72,1,442.0,3,0,Home Win,2026,June,Germany,CÃ´te d'Ivoire,Medium Scoring,1.0,No,Average,Poor,Good,Good,1.08,1.39,Medium
34,20-06-2026,18:00,1,12,20,18,0.0,0.0,Completed,1.92,0.08,2,443.0,0,0,Draw,2026,June,Ecuador,CuraÃ§ao,Low Scoring,0.0,No,Poor,Poor,Excellent,Excellent,0.0,0.0,Low
35,20-06-2026,21:00,1,14,21,23,5.0,1.0,Completed,3.45,0.88,3,531.0,6,0,Home Win,2026,June,Netherlands,Sweden,High Scoring,4.0,Yes,Strong,Poor,Good,Weak,1.45,1.14,High
36,20-06-2026,23:59,1,16,24,22,0.0,4.0,Completed,0.35,3.12,4,564.0,4,0,Away Win,2026,June,Tunisia,Japan,Medium Scoring,4.0,No,Poor,Strong,Weak,Excellent,0.0,1.28,Medium
37,21-06-2026,15:00,1,11,25,27,0.0,0.0,Completed,1.45,0.62,5,677.0,0,0,Draw,2026,June,Belgium,IR Iran,Low Scoring,0.0,No,Poor,Poor,Excellent,Excellent,0.0,0.0,Low
38,21-06-2026,18:00,1,13,28,26,1.0,3.0,Completed,0.55,2.15,6,660.0,4,0,Away Win,2026,June,New Zealand,Egypt,Medium Scoring,2.0,No,Poor,Average,Weak,Good,1.82,1.4,Medium
39,21-06-2026,21:00,1,15,29,31,4.0,0.0,Completed,3.28,0.25,7,749.0,4,0,Home Win,2026,June,Spain,Saudi Arabia,Medium Scoring,4.0,No,Strong,Poor,Excellent,Weak,1.22,0.0,Medium
40,21-06-2026,23:59,1,2,32,30,2.0,2.0,Completed,1.65,1.1,8,755.0,4,0,Draw,2026,June,Uruguay,Cabo Verde,Medium Scoring,0.0,No,Average,Average,Good,Good,1.21,1.82,Medium
41,22-06-2026,15:00,1,4,33,35,3.0,0.0,Completed,2.21,0.45,9,842.0,3,0,Home Win,2026,June,France,Iraq,Medium Scoring,3.0,No,Average,Poor,Excellent,Weak,1.36,0.0,Medium
42,22-06-2026,18:00,1,6,36,34,3.0,2.0,Completed,1.95,1.48,10,919.0,5,0,Home Win,2026,June,Norway,Senegal,Medium Scoring,1.0,Yes,Average,Average,Good,Weak,1.54,1.35,Medium
43,22-06-2026,21:00,1,8,37,39,2.0,0.0,Completed,1.78,0.55,11,946.0,2,0,Home Win,2026,June,Argentina,Austria,Low Scoring,2.0,No,Average,Poor,Excellent,Good,1.12,0.0,Low
